Time stamps,Elapsed time,torque_time_list,speed_time_list,power_time_list,efficiency_time_list,vibration_time_list,CNfault_time_list,Icn_y,basic_freq_list
1744089272,84840.533333,29.560804,0,11631.067128,92.432743,0,0.010473,-0.004732,47.702707
1744089931,84851.516667,28.311944,0,11599.288818,92.015592,0,0.014405,-0.001963,47.521669
1744090593,84862.550000,28.562688,0,11569.901087,92.503547,0,0.012957,-0.007853,47.484326
1744091244,84873.400000,28.732434,0,11528.129222,91.276123,0,0.019515,-0.007866,47.489156
1744091892,84884.200000,28.801297,0,11495.934919,91.525445,0,0.016591,-0.006708,47.260064
1744092539,84894.983333,28.350538,0,11549.346522,93.390558,0,0.007774,-0.004402,47.309026
1744093185,84905.750000,28.672832,0,11548.927614,92.238201,0,0.022793,-0.005580,47.600437
1744093832,84916.533333,29.046855,0,11615.731837,92.160144,0,0.020304,-0.006508,47.606827
1744094479,84927.316667,29.548524,0,11568.299591,94.379804,0,0.018089,-0.007254,47.435998
1744095126,84938.100000,29.247494,0,11511.462208,92.356055,0,0.021037,-0.004341,47.575513
1744095773,84948.883333,29.758454,0,11552.204618,92.370183,0,0.028957,-0.001006,47.551562
1744096419,84959.650000,29.189300,0,11488.818973,92.534162,0,0.021069,-0.006295,47.317372
1744097066,84970.433333,28.654905,0,11547.517846,92.044785,0,0.024391,-0.002638,47.378268
1744097712,84981.200000,28.031597,0,11520.095242,93.377375,0,0.021879,-0.009068,47.208548
1744098359,84991.983333,28.499678,0,11513.281407,91.062374,0,0.019298,-0.009955,47.451240
1744099005,85002.750000,29.355386,0,11552.037282,91.733387,0,0.022487,-0.005974,47.324420
1744099651,85013.516667,28.620230,0,11502.863459,91.587240,0,0.017441,-0.007324,47.229128
1744100298,85024.300000,29.157899,0,11424.718536,92.638587,0,0.022954,-0.006212,47.023427
1744100945,85035.083333,29.200667,0,11456.467821,93.037722,0,0.024738,-0.001521,47.164333
1744101591,85045.850000,29.442610,0,11508.291202,93.428336,0,0.017972,-0.007739,47.185602
1744102238,85056.633333,29.366552,0,11411.104491,90.578568,0,0.019983,-0.010016,47.096494
1744102884,85067.400000,28.708008,0,11450.529742,91.287273,0,0.019280,-0.002354,47.135194
1744103531,85078.183333,29.012187,0,11566.786857,92.307954,0,0.020739,-0.009006,47.663939
1744104178,85088.966667,29.432699,0,11556.099918,92.326187,0,0.014532,-0.009448,47.643518
1744104825,85099.750000,29.407162,0,11537.954394,92.122444,0,0.022832,0.000899,47.696572
1744105471,85110.516667,30.091061,0,11581.783576,93.510865,0,0.019438,-0.007734,47.698625
1744106118,85121.300000,29.503252,0,11612.973140,93.062080,0,0.019200,-0.005625,47.710130
1744106764,85132.066667,29.051388,0,11473.075458,91.684319,0,0.020954,-0.008592,47.417279
1744107411,85142.850000,28.316467,0,11582.674665,93.079731,0,0.022738,-0.005180,47.662927
1744108057,85153.616667,29.500457,0,11609.161755,93.268599,0,0.023265,-0.005944,47.930169
1744108703,85164.383333,29.098525,0,11546.883916,93.333423,0,0.016352,-0.008772,47.672374
1744109350,85175.166667,28.821802,0,11596.867516,91.326168,0,0.021344,-0.006003,47.823062
1744109996,85185.933333,29.396829,0,11563.146117,92.897845,0,0.022693,-0.003061,47.551463
1744110642,85196.700000,28.829399,0,11559.039674,92.280156,0,0.020585,-0.007169,47.681201
1744111289,85207.483333,28.382633,0,11621.514518,92.556922,0,0.017692,-0.005441,47.728743
1744111935,85218.250000,29.205358,0,11612.450205,94.421071,0,0.018207,-0.005288,47.593987
1744112582,85229.033333,29.125616,0,11559.559654,93.884500,0,0.015684,-0.004075,47.411240
1744113229,85239.816667,29.294350,0,11585.525074,92.039152,0,0.021355,-0.004065,47.628937
1744113875,85250.583333,29.156361,0,11608.901001,93.620970,0,0.016900,-0.001883,47.613830
1744114521,85261.350000,28.838917,0,11566.092623,92.871297,0,0.015333,-0.006418,47.816403
1744115167,85272.116667,28.618711,0,11594.392415,93.682695,0,0.022648,-0.000577,47.872281
1744115813,85282.883333,28.928687,0,11622.153185,92.786132,0,0.010776,-0.001954,47.865107
1744116460,85293.666667,30.101557,0,11627.708285,95.035783,0,0.015868,-0.006233,47.708279
1744117107,85304.450000,29.308476,0,11576.132451,91.946068,0,0.019543,-0.002957,47.861876
1744117753,85315.216667,28.970519,0,11617.201438,92.592060,0,0.016661,-0.003446,47.850956
1744118400,85326.000000,29.094705,0,11579.999396,92.077418,0,0.011584,-0.004965,47.634031
1744119048,85336.800000,29.491509,0,11570.888485,93.363300,0,0.024628,-0.002835,47.783236
1744119694,85347.566667,29.860021,0,11644.357903,94.279220,0,0.016416,-0.004793,47.841212
1744120341,85358.350000,29.483395,0,11586.217887,93.286686,0,0.017496,-0.004225,47.503304
1744120987,85369.116667,29.295414,0,11593.306757,92.503057,0,0.022009,-0.001734,47.429643
1744121634,85379.900000,29.009976,0,11505.017531,91.624445,0,0.021952,-0.009647,47.438392
1744122280,85390.666667,28.971910,0,11556.815883,93.439143,0,0.021359,-0.001790,47.503262
1744122927,85401.450000,29.548030,0,11609.061016,93.002359,0,0.020581,-0.006684,47.529089
1744123573,85412.216667,28.394275,0,11555.000635,93.160424,0,0.020416,-0.006554,47.623061
1744124219,85422.983333,29.356281,0,11619.955109,93.909503,0,0.019013,-0.003878,47.658114
1744124866,85433.766667,29.185091,0,11593.063299,94.196404,0,0.016468,-0.000908,47.585993
1744125512,85444.533333,28.372655,0,11462.635915,92.348386,0,0.021174,-0.003682,47.439963
1744126158,85455.300000,28.915579,0,11494.931118,92.377076,0,0.025036,-0.001220,47.453283
1744126805,85466.083333,29.371756,0,11567.722152,90.464863,0,0.021654,-0.007928,47.531701
1744127452,85476.866667,29.189672,0,11614.944792,92.646529,0,0.016981,-0.002331,47.452407
1744128099,85487.650000,29.297918,0,11554.574935,94.545096,0,0.020666,-0.006493,47.392066
1744128746,85498.433333,28.970203,0,11548.064352,93.235766,0,0.022144,-0.002850,47.362367
